Data Extracted from EPA's FLIGHT Tool (http://ghgdata.epa.gov/ghgp),,,,,,,,,,,,
The data was reported to EPA by facilities as of 08/18/2023,,,,,,,,,,,,
All emissions data is presented in units of metric tons of carbon dioxide equivalent using GWP's from IPCC's AR4,,,,,,,,,,,,
GHG data for some source categories are not directly comparable between 2010 and subsequent years. 12 new source categories began reporting for 2011.,,,,,,,,,,,,
Search Parameters: year=2022; state=NJ; GHGs=ALL; data type=All Emitters; emissionsType=FC; ,,,,,,,,,,,,
,,,,,,,,,,,,
REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2022,"ANHEUSER-BUSCH, INC. NEWARK BREWERY",1003525,200 US HIGHWAY ONE,40.6916,-74.1916,NEWARK,ESSEX COUNTY,NJ,7114,ANHEUSER-BUSCH COS LLC (100%),23839,C
2022,ATLANTIC COUNTY LANDFILL,1001858,6700 Delilah Road,39.41653,-74.54036,EGG HARBOR TOWNSHIP,ATLANTIC COUNTY,NJ,8234,ATLANTIC COUNTY UTILITIES AUTHORITY (100%),131,"C,HH"
2022,Ardagh Glass Inc. (Bridgeton),1002504,443 S EAST AVE,39.409,-75.21958,BRIDGETON,CUMBERLAND COUNTY,NJ,8302,ARDAGH GLASS INC (100%),39899,"C,N"
2022,BRISTOL MYERS SQUIBB INC,1006828,ONE SQUIBB DRIVE,40.47492,-74.44511,NORTH BRUNSWICK,MIDDLESEX COUNTY,NJ,8902,BRISTOL-MYERS SQUIBB CO (100%),54359,C
2022,BURLINGTON CNTY RESOURCE RECOVERY COMPLEX,1006969,21939 COLUMBUS ROAD,40.082778,-74.713889,COLUMBUS,BURLINGTON COUNTY,NJ,8022,BURLINGTON COUNTY NEW JERSEY (100%),1065,"C,HH"
2022,Bayonne Energy Center,1000555,401 Hook Road,40.6529,-74.0916,Bayonne,Hudson,NJ,7002,BAYONNE ENERGY CENTER LLC (100%),614518,D
2022,"Bayonne Plant Holding, LLC",1001246,10 HOOK ROAD,40.6553,-74.1124,BAYONNE,Hudson,NJ,7002,IMTT-BAYONNE LLC (100%),33590,C
2022,Bergen,1000742,VICTORIA TERRACE,40.8375,-74.0244,RIDGEFIELD,Bergen,NJ,7657,ARCLIGHT ENERGY PARTNERS FUND VI LP (100%),887767,"C,D"
2022,Burlington Generating Station,1000743,,40.0753,-74.8781,BURLINGTON,Burlington,NJ,8016,ARCLIGHT ENERGY PARTNERS FUND VII LP (100%),31339,"C,D"
2022,CAMDEN CNTY RESOURCE RECOVERY ASSOC,1000362,600 MORGAN BOULEVARD,39.9094,-75.1167,CAMDEN,CAMDEN COUNTY,NJ,8104,COVANTA HOLDING CORP (100%),138951,C
